company_id,company_name,year,distress_level,signal_count,signals,CFO_cr,PAT_cr,FCF_cr,Debt_to_Equity,Interest_coverage,Current_debt_cr,Previous_debt_cr
PFC,Power Finance Corporation Ltd,Mar 2024,High,5,Negative CFO; Negative FCF; High debt-to-equity; Weak interest coverage; Rising debt,-97820.0,28248.0,-101229.0,8.521864217426122,0.5804147544943239,910447.0,861961.0
PNB,Punjab National Bank,Mar 2024,High,4,Negative CFO; Negative FCF; High debt-to-equity; Rising debt,-27939.0,14535.0,-29445.0,3.684256345007701,,55017.0,53621.0
RECLTD,REC Ltd,Mar 2024,High,4,Negative CFO; Negative FCF; High debt-to-equity; Rising debt,-57723.0,14885.0,-59554.0,6.4249170872386445,1.6004741552023507,483617.0,445568.0
SBILIFE,SBI Life Insurance Company Ltd,Mar 2024,Medium,1,Negative FCF,29122.0,2411.0,-2099.0,0.0,240.33333333333334,0.0,0.0
SBIN,State Bank of India,Mar 2024,Medium,1,Weak interest coverage,21632.0,74461.0,18156.0,,0.3660986540179259,,
SHREECEM,Shree Cement Ltd,Mar 2024,Medium,1,Rising debt,3347.0,1733.0,1929.0,0.07998840747717723,19.825581395348838,1682.0,1656.0
SHRIRAMFIN,"Shriram Finance Ltd
",Mar 2024,High,5,Negative CFO; Negative FCF; High debt-to-equity; Weak interest coverage; Rising debt,-31101.0,9454.0,-31359.0,3.994034363699512,0.6766743648960739,207820.0,195496.0
SIEMENS,Siemens Ltd,Sep 2024,Medium,1,Rising debt,1670.0,2718.0,1168.0,0.018167610861496385,67.15,279.0,175.0
TATAPOWER,"Tata Power Company Ltd
",Mar 2024,Medium,2,High debt-to-equity; Rising debt,12596.0,4403.0,3569.0,1.659321300531586,3.054392402331103,58314.0,53689.0
TATASTEEL,"Tata Steel Ltd
",Mar 2024,Medium,1,Rising debt,20301.0,2527.0,6048.0,0.9461835171402184,2.1634256792754396,99392.0,87082.0
TCS,Tata Consultancy Services Ltd,Mar 2024,Medium,1,Rising debt,44338.0,49006.0,50429.0,0.0886406082507266,87.09511568123393,9046.0,8021.0
TITAN,"Titan Company Ltd
",Mar 2024,Medium,2,High debt-to-equity; Rising debt,1695.0,3243.0,1506.0,1.653145959757266,9.411954765751211,21648.0,15528.0
TRENT,Trent Ltd,Mar 2024,Medium,1,Rising debt,1349.0,1809.0,841.0,0.4309242871189774,8.043478260869565,1842.0,1753.0
TVSMOTOR,TVS Motor Company Ltd,Mar 2024,High,3,Negative CFO; Negative FCF; High debt-to-equity,-1253.0,2094.0,-2254.0,3.833431603773585,2.9076763485477177,14619.0,26006.0
ULTRACEMCO,UltraTech Cement Ltd,Mar 2024,Medium,1,Rising debt,10898.0,6252.0,2109.0,0.1893305439330544,13.983471074380166,16964.0,11403.0
UNIONBANK,Union Bank of India,Mar 2024,High,3,High debt-to-equity; Weak interest coverage; Rising debt,19930.0,16344.0,18536.0,12.823705403799257,0.35356038128906003,1251568.0,1163059.0
UNITDSPR,United Spirits Ltd,Mar 2024,Medium,1,Rising debt,1118.0,1402.0,1344.0,,29.05263157894737,265.0,183.0
VBL,Varun Beverages Ltd,Dec 2023,Medium,1,Negative FCF,2391.0,2582.0,-897.0,,12.712328767123287,,
VEDL,Vedanta Ltd,Mar 2024,Medium,1,Rising debt,35654.0,15841.0,21978.0,,4.284310618066561,87706.0,80329.0
ZOMATO,Zomato Ltd,Mar 2024,Medium,1,Rising debt,646.0,663.0,298.0,,12.347222222222221,749.0,507.0
